id	name
11	4.691
12	0.665
13	0.281
14	0.354
15	1.825
16	0.368
17	0.734
18	2.391
19	3.009
20	0.814
21	1.084
22	0.721
23	0.358
24	1.240
25	0.848
26	1.886
27	1.310
28	0.790
29	0.463
30	0.821
31	1.418
32	0.749
33	0.358
34	0.414
35	0.275
36	0.330
37	0.651
38	0.434
39	0.515
40	0.339
41	0.579
42	1.649
43	0.616
44	0.343
45	0.654
46	0.446
47	0.388
48	0.399
49	0.341
50	0.352
51	0.397
52	0.357
53	0.745
54	0.633
55	0.599
56	0.546
57	0.766
58	0.767
59	0.305
60	0.426
61	0.338
62	0.386
63	0.674
64	0.671
65	0.446
66	0.727
67	0.478
68	0.557
69	1.194
70	0.333
71	0.604
72	0.524
73	0.753
74	1.035
75	4.887
76	3.625
77	0.391
78	0.395
79	0.485
80	1.719
81	0.343
82	0.374
83	0.472
84	0.395
85	0.380
86	0.531
87	0.567
88	0.465
89	0.331
90	0.856
91	0.347
92	1.179
93	0.487
94	0.362
95	0.391
96	0.442
97	0.782
98	0.405
99	0.361
100	0.368
101	0.283
102	0.641
103	0.879
104	0.824
105	0.433
106	0.483
107	0.718
108	0.372
109	0.325
110	0.335
111	3.798
112	0.350
113	0.513
114	0.654
115	0.749
116	1.191
117	2.472
118	0.527
119	0.496
120	0.807
121	0.937
122	0.377
123	1.671
124	0.323
125	0.315
126	0.423
127	0.315
128	0.339
129	0.426
130	0.341
131	1.493
132	0.428
133	0.366
134	0.346
135	0.542
136	0.566
137	0.399
138	0.416
139	0.384
140	0.297
141	0.350
142	0.962
143	0.420
144	0.645
145	0.360
146	0.336
147	0.674
148	0.519
149	0.710
150	0.371
151	0.338
152	0.355
153	0.511
154	0.471
155	0.952
156	0.372
157	0.390
158	0.600
159	0.779
160	0.330
161	0.398
162	0.348
163	0.394
164	0.394
165	0.387
166	0.345
167	1.174
168	0.525
169	0.628
170	0.421
171	0.441
172	0.318
173	0.817
174	0.802
175	1.504
176	0.654
177	0.380
178	0.406
179	0.777
180	0.479
181	0.368
182	0.321
183	0.369
184	0.433
185	0.725
186	0.588
187	6.646
188	1.192
189	0.475
190	1.350
191	0.329
192	0.758
193	1.372
194	0.583
195	0.312
196	0.742
197	0.663
198	0.784
199	0.491
200	1.965
201	0.441
202	1.105
203	0.597
204	0.404
205	0.515
206	0.396
207	0.570
208	0.322
209	1.829
210	0.695
211	0.822
212	0.602
